Year,Course,CourseName,ShnatonId,Semester,TestDates
2027,80131,חשבון אינפיניטסימלי (1),355389,SemAB,"['2027-01-25T00:00:00', '2027-02-23T00:00:00', '2027-07-20T00:00:00', '2027-08-16T00:00:00']"
2027,80131,חשבון אינפיניטסימלי (1),355389,SemAB,"['2027-01-25T00:00:00', '2027-02-23T00:00:00', '2027-07-20T00:00:00', '2027-08-16T00:00:00']"
2027,80134,אלגברה ליניארית (1),360706,SemAB,"['2027-02-08T00:00:00', '2027-03-09T00:00:00', '2027-07-11T00:00:00', '2027-08-08T00:00:00']"
2027,80134,אלגברה ליניארית (1),360706,SemAB,"['2027-02-08T00:00:00', '2027-03-09T00:00:00', '2027-07-11T00:00:00', '2027-08-08T00:00:00']"
2027,80181,מתמטיקה דיסקרטית,351223,SemA,"['2027-01-31T00:00:00', '2027-03-02T00:00:00']"
2027,80158,חשבון אינפיניטסימלי מואץ 1,394968,SemA,"['2027-01-25T00:00:00', '2027-02-23T00:00:00']"
2027,80415,חשבון אינפיניטסימלי 3,362755,SemAB,"['2027-02-14T00:00:00', '2027-03-09T00:00:00', '2027-07-27T00:00:00', '2027-08-18T00:00:00']"
2027,80415,חשבון אינפיניטסימלי 3,362755,SemAB,"['2027-02-14T00:00:00', '2027-03-09T00:00:00', '2027-07-27T00:00:00', '2027-08-18T00:00:00']"
2027,80507,תבניות ריבועיות ומספרים P-אדיים,362995,SemB,"['2027-07-28T00:00:00', '2027-08-19T00:00:00']"
