Year,Course,CourseName,ShnatonId,Semester,TestDates
2026,57126,השקעות בינלאומיות ושערי חליפין,56058,SemA,[]
2026,57127,הסטוריה של המחשבה הכלכלית ,56096,SemB,['2026-08-17T00:00:00']
2026,57128,סוגיות נבחרות בכלכלה התנהגותית,6411,SemA,[]
2026,57132,החלטות פיננסיות של הפירמה,446,False,"[None, None]"
2026,57133,כלכלה ציבורית,16954,SemB,"['2026-07-28T09:00:00', '2026-08-21T09:00:00']"
2026,57133,כלכלה ציבורית,16954,SemB,"['2026-07-28T09:00:00', '2026-08-21T09:00:00']"
2026,57152,נושאים במיקרו כלכלה אמפירית,464485,False,[]
2026,57253,משברים פיננסיים וכלכליים והחשיבה במאקרו-כלכלה,14705,SemA,"['2026-01-28T13:00:00', '2026-05-01T09:00:00']"
2026,57255,נושאים בעיצוב שווקים,473517,False,[]
2026,57257,מסחר בינלאומי ופיתוח,463428,False,[]
2026,57305,מאקרו כלכלה,8483,SemA,"['2026-02-15T09:00:00', '2026-05-01T09:00:00']"
2026,57307,תורת המחירים א,785,SemA,"['2026-01-28T09:00:00', '2026-02-23T09:00:00']"
2026,57308,תורת המחירים ב,754,SemB,"['2026-07-19T09:00:00', '2026-08-16T09:00:00']"
2026,57311,נושאים במקרו כלכלה של אי-ודאות ושווקים פיננסים,9315,SemB,"['2026-07-13T13:00:00', '2026-08-13T09:00:00']"
2026,57311,נושאים במקרו כלכלה של אי-ודאות ושווקים פיננסים,9315,SemB,"['2026-07-13T13:00:00', '2026-08-13T09:00:00']"
2026,57318,אקונומטריקה של הערכת מדיניות,478491,False,[]
2026,57318,אקונומטריקה של הערכת מדיניות,478491,False,[]
2026,57319,איך לא לשקר עם נתונים,475919,False,[]
2026,57322,מבוא לאקונומטריקה,10872,SemA,"['2026-02-08T09:00:00', '2026-04-19T09:00:00']"
2026,57466,שווקים ותחרות בישראל,21126,SemB,"['2026-07-05T13:00:00', '2026-08-02T09:00:00']"
2026,57466,שווקים ותחרות בישראל,21126,SemB,"['2026-07-05T13:00:00', '2026-08-02T09:00:00']"
2026,57467,כלכלה התנהגותית ויישומיים אימפירים,20408,SemA,"['2026-01-25T13:00:00', '2026-05-01T09:00:00']"
2026,57468,אקונומטריקה יישומית,472899,False,[]
2026,57468,אקונומטריקה יישומית,472899,False,[]
2026,57469,נושאים בחקר המיסוי אמפירי,21371,SemA,[]
2026,57493,נושאים בביג דאטה בכלכלה,19222,SemAB,"[None, None, None, None]"
2026,57493,נושאים בביג דאטה בכלכלה,19222,SemAB,"[None, None, None, None]"
2026,57495,כלכלת עבודה,19227,SemB,"['2026-07-10T09:00:00', '2026-08-04T09:00:00']"
2026,57496,סוגיות בכלכלת הפירמה,19198,SemA,"['2026-02-19T09:00:00', '2026-05-01T09:00:00']"
2026,57496,סוגיות בכלכלת הפירמה,19198,SemA,"['2026-02-19T09:00:00', '2026-05-01T09:00:00']"
2026,57497,שיטות בלמידת מכונה לכלכלנים ,20062,SemB,[]
2026,57497,שיטות בלמידת מכונה לכלכלנים ,20062,SemB,[]
2026,57503,נושאים בכלכלת תחבורה,465630,False,[]
2026,57503,נושאים בכלכלת תחבורה,465630,False,[]
2026,57506,מאקרו כלכלה מתקדמת,24148,SemA,"['2026-02-04T09:00:00', '2026-04-19T09:00:00']"
2026,57506,מאקרו כלכלה מתקדמת,24148,SemA,"['2026-02-04T09:00:00', '2026-04-19T09:00:00']"
2026,57509,אלגברה לינארית לכלכלנים,18095,SemB,"['2026-07-06T13:00:00', '2026-08-03T09:00:00']"
2026,57509,אלגברה לינארית לכלכלנים,18095,SemB,"['2026-07-06T13:00:00', '2026-08-03T09:00:00']"
2026,57510,כשלי שוק ,2540,SemB,"[None, None]"
2026,57533,מחקר כלכלי על אפליה והטיה,23948,False,[]
2026,57552,חיזוי במאקרו כלכלה ובשוק ההון,21975,SemA,[]
2026,57554,תורת המשחקים לכלכלנים,690,SemA,"['2026-02-02T09:00:00', '2026-02-25T09:00:00']"
2026,57555,מכרזים: תיאוריה ומעשה,463479,False,[]
2026,57556,מתמטיקה מתקדמת לכלכלנים,8217,SemA,"['2026-01-28T13:00:00', '2026-04-26T09:00:00']"
2026,57556,מתמטיקה מתקדמת לכלכלנים,8217,SemA,"['2026-01-28T13:00:00', '2026-04-26T09:00:00']"
2026,57588,מימון למוסמך,9135,SemB,"['2026-07-09T09:00:00', '2026-08-09T09:00:00']"
2026,57600,תכנון וניתוח של מדיניות ציבורית: שיטות אנליטיות ויישומים,507435,False,[]
2026,57638,כלכלת עבודה אמפירית,6992,SemA,[]
2026,57654,מסחר בינלאומי,19808,SemA,"['2026-01-29T09:00:00', '2026-04-19T09:00:00']"
2026,57654,מסחר בינלאומי,19808,SemA,"['2026-01-29T09:00:00', '2026-04-19T09:00:00']"
